#USGS station No.,"Annual exceedance probability discharge, in cubic feet per second",,,,,,,,,,,,,,,,,,,,,,,,Skew coefficient used for Sta AEP,Skew coefficient used in appendix B,MSE of skew coefficient used in appendix B,
#50-percent,20-percent,10-percent,4-percent,2-percent,1-percent,0.5-percent,0.2-percent
#Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Sta,Reg,Wtd,Skew coefficient used for Sta AEP,Skew coefficient used in appendix B,MSE of skew coefficient used in appendix B
15050000,1390,1090,1380,1860,1510,1860,2180,1810,2180,2610,2200,2600,2940,2490,2920,3270,2800,3260,3620,3100,3600,4100,3530,4070,0.239,0.348,0.1300
15052000,1760,1380,1750,2370,1880,2360,2790,2240,2780,3340,2710,3320,3770,3070,3740,4200,3430,4160,4650,3790,4590,5270,4300,5180,0.211,0.294,0.1697
15052500,8560,6820,8550,10900,8650,10900,12500,9910,12400,14400,11500,14300,15800,12700,15800,17200,14000,17200,18700,15200,18600,20600,16800,20400,0.149,0.103,0.1529
15052800,1450,1070,1440,1980,1510,1970,2350,1830,2330,2840,2240,2810,3220,2560,3180,3610,2880,3570,4030,3210,3960,4600,3660,4500,0.257,0.450,0.1960
15053800,446,201,428,666,311,629,828,394,771,1050,506,955,1230,593,1090,1420,682,1230,1630,774,1370,1920,904,1560,0.196,,
15054000,166,287,168,230,440,235,275,552,283,333,703,348,378,820,401,423,942,457,470,1070,517,535,1240,605,0.113,,
15054500,168,146,167,238,229,238,282,292,283,335,377,337,372,443,377,408,512,417,442,583,458,486,682,514,-0.333,,
15055500,763,2440,779,1010,3240,1040,1180,3800,1220,1390,4530,1470,1540,5080,1660,1700,5640,1860,1860,6190,2070,2070,6970,2380,0.090,,
15056030,154,144,153,299,225,288,430,286,402,641,368,560,836,433,680,1070,499,795,1340,569,905,1770,665,1040,0.232,,
15056100,4870,5020,4870,7380,6710,7350,9340,7890,9260,12200,9400,11900,14600,10500,14100,17200,11700,16300,20100,12800,18600,24400,14400,21800,0.387,,
15056200,2680,1790,2650,3850,2520,3780,4740,3050,4620,5970,3730,5730,6980,4250,6600,8070,4780,7500,9250,5300,8420,11000,6030,9670,0.383,,
15056210,8040,6040,7990,10800,8020,10700,13100,9400,12900,16800,11200,16400,20200,12500,19200,24100,13800,22000,28800,15100,24800,36100,16900,28100,1.406,,
15056560,7190,8830,7200,8050,11500,8070,8550,13400,8580,9120,15700,9170,9520,17500,9600,9880,19300,10000,10200,21000,10400,10700,23400,11000,0.067,,
15059500,1020,583,978,1680,838,1580,2200,1020,2010,2930,1260,2560,3530,1450,2970,4180,1640,3370,4880,1840,3760,5910,2100,4250,0.063,,
15060000,433,465,433,530,664,531,590,809,592,663,1000,667,716,1150,723,767,1300,778,818,1450,834,884,1660,909,0.098,-0.107,0.1911
15067900,607,467,603,815,659,809,956,797,948,1140,978,1130,1270,1110,1260,1410,1260,1400,1550,1410,1540,1740,1610,1730,0.134,,
15068000,1160,995,1150,1710,1360,1700,2110,1620,2090,2640,1950,2600,3060,2210,2980,3490,2480,3380,3940,2740,3780,4580,3110,4330,0.081,-0.352,0.2148
15070000,3040,3640,3040,3830,4720,3830,4340,5480,4350,4970,6460,4990,5430,7190,5470,5890,7940,5950,6350,8690,6440,6970,9710,7090,0.144,0.062,0.1698
15072000,2830,3420,2830,3500,4460,3500,3920,5190,3930,4440,6140,4450,4820,6840,4830,5190,7550,5210,5560,8280,5590,6050,9250,6100,0.132,0.104,0.0623
15074000,1180,1900,1180,1410,2560,1410,1550,3030,1560,1720,3630,1740,1840,4090,1870,1960,4560,2000,2080,5020,2130,2230,5660,2310,0.180,,
15076000,2780,3280,2780,3490,4310,3500,3950,5010,3950,4500,5940,4520,4900,6640,4930,5300,7330,5340,5700,8040,5760,6220,8990,6310,0.088,-0.063,0.1562
15078000,2760,3100,2760,3360,4070,3370,3740,4750,3750,4200,5620,4230,4530,6300,4570,4850,6950,4920,5170,7620,5260,5590,8550,5730,0.131,,
15080000,4290,6030,4330,5680,7600,5730,6610,8710,6690,7810,10100,7940,8720,11200,8900,9650,12300,9880,10600,13300,10900,11900,14800,12300,0.196,,
15081495,556,325,551,732,481,724,853,596,842,1010,748,994,1130,865,1110,1260,986,1230,1390,1110,1350,1570,1280,1520,0.296,,
15081497,10700,3390,10500,14200,4500,14000,16600,5270,16200,19600,6280,18800,21800,7030,20800,24000,7780,22600,26200,8550,24300,29200,9590,26500,0.045,,
15081500,7620,3490,7360,12200,4640,11500,15500,5450,14300,20100,6470,17800,23700,7230,20300,27500,8030,22700,31500,8830,25200,37200,9900,28400,-0.032,,
15081580,226,308,228,299,451,303,349,555,356,414,693,429,464,802,486,516,912,548,570,1030,613,644,1180,707,0.288,,
15083500,1530,344,1500,1900,512,1870,2140,635,2090,2440,800,2360,2670,927,2540,2890,1060,2730,3120,1190,2900,3430,1380,3140,0.287,,
15085100,874,650,874,1070,933,1070,1190,1140,1190,1330,1410,1330,1430,1610,1430,1530,1820,1530,1620,2040,1630,1740,2330,1750,-0.018,-0.184,0.0950
15085600,2190,910,2100,3410,1280,3180,4350,1550,3950,5710,1900,4930,6840,2170,5650,8080,2440,6340,9440,2720,7010,11400,3100,7850,0.277,,
15085700,4650,2490,4570,6670,3330,6480,8110,3930,7790,10000,4690,9460,11600,5260,10700,13200,5850,11900,14900,6440,13100,17200,7240,14700,0.195,,
15085800,2330,1390,2300,3160,1920,3110,3720,2290,3660,4460,2780,4350,5030,3150,4870,5600,3520,5380,6200,3910,5910,7020,4430,6600,0.168,,
15086600,1010,863,1010,1260,1240,1260,1410,1510,1420,1600,1870,1600,1720,2140,1730,1850,2420,1870,1970,2700,2000,2120,3080,2170,-0.043,,
15086900,1160,885,1160,1370,1260,1370,1500,1530,1500,1660,1890,1660,1760,2160,1780,1870,2430,1890,1970,2720,2000,2110,3100,2160,0.138,,
15087250,447,383,446,581,560,581,669,690,670,780,863,784,863,995,870,945,1130,958,1030,1270,1050,1140,1470,1170,0.127,,
15087545,671,312,656,898,460,875,1050,569,1020,1250,713,1200,1400,824,1330,1560,940,1460,1720,1060,1600,1940,1220,1780,0.190,,
15087570,8680,3050,8500,12200,4170,11900,14700,4940,14100,17900,5940,16900,20300,6700,18800,22800,7460,20700,25300,8240,22500,28800,9290,24800,0.060,,
15087590,428,241,418,639,369,617,799,463,763,1020,592,958,1210,690,1110,1400,793,1260,1620,897,1420,1930,1040,1640,0.286,,
15087690,3630,1080,3570,4870,1500,4760,5680,1810,5510,6680,2200,6410,7410,2500,7030,8140,2810,7620,8860,3120,8200,9820,3540,8900,-0.035,,
15088000,3710,4500,3730,5060,5730,5070,5980,6590,6000,7180,7710,7200,8090,8550,8120,9020,9380,9050,9980,10200,10000,11300,11400,11300,0.136,-0.198,0.1517
15088200,118,80,117,166,126,164,197,160,195,238,207,236,270,244,267,301,283,299,333,324,332,377,379,378,0.040,,
15093400,1230,802,1220,1630,1100,1610,1900,1310,1870,2250,1580,2200,2520,1790,2460,2790,2010,2710,3070,2230,2970,3460,2530,3320,0.236,,
15094000,582,1510,591,766,2000,784,892,2340,919,1050,2790,1100,1180,3130,1250,1310,3480,1410,1440,3830,1580,1620,4310,1820,0.267,,
15098000,2830,4220,2840,3820,5370,3840,4520,6170,4550,5450,7190,5510,6180,7980,6270,6950,8770,7060,7750,9550,7900,8880,10600,9070,0.336,1.599,0.3401
15100000,1540,2700,1550,1780,3490,1790,1930,4060,1940,2100,4780,2120,2230,5320,2250,2350,5870,2390,2470,6440,2520,2620,7190,2710,0.257,,
15101500,1370,2010,1390,2120,2720,2150,2670,3220,2710,3430,3870,3470,4030,4370,4070,4660,4850,4690,5330,5360,5330,6270,6040,6210,0.041,,
15102000,1380,3560,1390,1670,4720,1690,1860,5550,1890,2090,6610,2150,2270,7400,2350,2440,8200,2550,2610,8990,2770,2850,10100,3080,0.346,,
15106920,1050,776,1050,1420,1120,1410,1670,1360,1660,1990,1690,1980,2230,1940,2220,2480,2190,2470,2740,2450,2720,3090,2810,3070,0.167,0.150,0.1470
15106940,704,400,686,1080,594,1040,1340,736,1280,1710,927,1600,1990,1070,1830,2290,1220,2070,2610,1380,2300,3050,1590,2610,0.037,,
15106960,1140,634,1130,1380,924,1370,1530,1130,1520,1720,1410,1710,1850,1620,1840,1970,1840,1970,2100,2070,2100,2260,2370,2270,0.098,,
15106980,2040,1110,2020,2760,1570,2730,3240,1900,3190,3860,2330,3770,4320,2650,4200,4790,2990,4620,5260,3320,5050,5900,3780,5610,0.074,,
15107000,4730,2350,4690,5920,3210,5860,6700,3820,6610,7660,4600,7540,8370,5180,8210,9080,5800,8890,9790,6410,9560,10700,7230,10500,0.186,,
15108000,1960,1500,1960,2630,2100,2620,3080,2520,3070,3670,3080,3650,4120,3500,4090,4590,3930,4540,5060,4370,5010,5720,4950,5640,0.213,,
15108250,8220,2410,7800,11900,3300,10900,14500,3940,13000,18200,4750,15500,21100,5370,17300,24200,5980,18900,27600,6620,20400,32400,7480,22300,0.280,,
15109000,1320,1150,1320,1720,1610,1720,1980,1940,1980,2310,2370,2310,2550,2700,2560,2800,3030,2810,3050,3370,3070,3390,3840,3420,0.159,,
15109045,113,122,113,139,195,140,157,250,159,179,326,186,196,385,209,214,447,236,231,512,267,255,601,314,0.387,,
15119980,588,2620,607,894,3980,942,1150,4970,1240,1550,6250,1770,1900,7230,2310,2310,8220,2990,2790,9230,3830,3550,10600,5210,0.740,0.737,0.2409
15119994,172,509,178,277,841,288,350,1090,366,444,1440,476,515,1700,569,585,1980,672,656,2260,788,751,2650,966,-0.278,-0.277,0.1888
